Name,Position_X,Position_Y,Position_Z
1号楼_1F_楼梯一_左上_A,9299.7,17438.9,1715.79
1号楼_1F_楼梯一_左上_B,9299.7,14967.1,110.0
1号楼_1F_楼梯一_左上_C,10665.8,14967.1,110.0
1号楼_1F_楼梯一_左上_D,10665.8,17438.9,1715.79
1号楼_1F_楼梯一_平台_A,9299.7,19900.0,1894.21
1号楼_1F_楼梯一_平台_B,9299.7,17438.9,1894.21
1号楼_1F_楼梯一_平台_C,12199.7,17438.9,1894.21
1号楼_1F_楼梯一_平台_D,12199.7,19900.0,1894.21
1号楼_1F_楼梯一_右下_A,10833.7,17438.9,2072.63
1号楼_1F_楼梯一_右下_B,10833.7,14967.1,3500.0
1号楼_1F_楼梯一_右下_C,12199.7,14967.1,3500.0
1号楼_1F_楼梯一_右下_D,12199.7,17438.9,2072.63
1号楼_1F_楼梯二_右下_D,40538.6,18216.0,2072.63
1号楼_1F_楼梯二_右下_A,38066.8,18216.0,3500.0
1号楼_1F_楼梯二_右下_B,38066.8,16700.0,3500.0
1号楼_1F_楼梯二_右下_C,40538.6,16700.0,2072.63
1号楼_1F_楼梯二_左上_D,40538.6,19900.0,1715.79
1号楼_1F_楼梯二_左上_A,38066.8,19900.0,110.0
1号楼_1F_楼梯二_左上_B,38066.8,18533.9,110.0
1号楼_1F_楼梯二_左上_C,40538.6,18533.9,1715.79
1号楼_1F_楼梯二_平台_D,42999.7,19900.0,1894.21
1号楼_1F_楼梯二_平台_A,40538.6,19900.0,1894.21
1号楼_1F_楼梯二_平台_B,40538.6,16700.0,1894.21
1号楼_1F_楼梯二_平台_C,42999.7,16700.0,1894.21
2号楼_1F_楼梯一_右下_A,74133.4,17438.9,2072.63
2号楼_1F_楼梯一_右下_B,74133.4,14967.1,3500.0
2号楼_1F_楼梯一_右下_C,75499.4,14967.1,3500.0
2号楼_1F_楼梯一_右下_D,75499.4,17438.9,2072.63
2号楼_1F_楼梯一_左上_A,72599.4,17438.9,1715.79
2号楼_1F_楼梯一_左上_B,72599.4,14967.1,110.0
2号楼_1F_楼梯一_左上_C,73965.5,14967.1,110.0
2号楼_1F_楼梯一_左上_D,73965.5,17438.9,1715.79
2号楼_1F_楼梯一_平台_A,72599.4,19900.0,1894.21
2号楼_1F_楼梯一_平台_B,72599.4,17438.9,1894.21
2号楼_1F_楼梯一_平台_C,75499.4,17438.9,1894.21
2号楼_1F_楼梯一_平台_D,75499.4,19900.0,1894.21
2号楼_1F_楼梯二_右下_A,101367.0,18216.0,3500.0
2号楼_1F_楼梯二_右下_B,101367.0,16700.0,3500.0
2号楼_1F_楼梯二_右下_C,103838.0,16700.0,2072.63
2号楼_1F_楼梯二_右下_D,103838.0,18216.0,2072.63
2号楼_1F_楼梯二_左上_A,101367.0,19900.0,110.0
2号楼_1F_楼梯二_左上_B,101367.0,18533.9,110.0
2号楼_1F_楼梯二_左上_C,103838.0,18533.9,1715.79
2号楼_1F_楼梯二_左上_D,103838.0,19900.0,1715.79
2号楼_1F_楼梯二_平台_A,103838.0,19900.0,1894.21
2号楼_1F_楼梯二_平台_B,103838.0,16700.0,1894.21
2号楼_1F_楼梯二_平台_C,106299.0,16700.0,1894.21
2号楼_1F_楼梯二_平台_D,106299.0,19900.0,1894.21
3号楼_1F_楼梯一_右下_A,137433.0,17438.9,2072.63
3号楼_1F_楼梯一_右下_B,137433.0,14967.1,3500.0
3号楼_1F_楼梯一_右下_C,138799.0,14967.1,3500.0
3号楼_1F_楼梯一_右下_D,138799.0,17438.9,2072.63
3号楼_1F_楼梯一_左上_A,135899.0,17438.9,1715.79
3号楼_1F_楼梯一_左上_B,135899.0,14967.1,110.0
3号楼_1F_楼梯一_左上_C,137265.0,14967.1,110.0
3号楼_1F_楼梯一_左上_D,137265.0,17438.9,1715.79
3号楼_1F_楼梯一_平台_A,135899.0,19900.0,1894.21
3号楼_1F_楼梯一_平台_B,135899.0,17438.9,1894.21
3号楼_1F_楼梯一_平台_C,138799.0,17438.9,1894.21
3号楼_1F_楼梯一_平台_D,138799.0,19900.0,1894.21
3号楼_1F_楼梯二_右下_A,164666.0,18216.0,3500.0
3号楼_1F_楼梯二_右下_B,164666.0,16700.0,3500.0
3号楼_1F_楼梯二_右下_C,167138.0,16700.0,2072.63
3号楼_1F_楼梯二_右下_D,167138.0,18216.0,2072.63
3号楼_1F_楼梯二_左上_A,164666.0,19900.0,110.0
3号楼_1F_楼梯二_左上_B,164666.0,18533.9,110.0
3号楼_1F_楼梯二_左上_C,167138.0,18533.9,1715.79
3号楼_1F_楼梯二_左上_D,167138.0,19900.0,1715.79
3号楼_1F_楼梯二_平台_A,167138.0,19900.0,1894.21
3号楼_1F_楼梯二_平台_B,167138.0,16700.0,1894.21
3号楼_1F_楼梯二_平台_C,169599.0,16700.0,1894.21
3号楼_1F_楼梯二_平台_D,169599.0,19900.0,1894.21
